category,date,earnings,subscribers,views
News,2018-12-06,511,2889862,1209854798
News,2018-12-07,692,2967288,1233079646
News,2018-12-08,614,2910436,1214568407
News,2018-12-09,569,2918070,1226389650
News,2018-12-10,523,2926470,1218561019
News,2018-12-11,850,2939234,1226900198
News,2018-12-12,636,3028161,1257022584
News,2018-12-13,571,2953282,1227377082
News,2018-12-14,533,2999802,1238925233
News,2018-12-15,416,2956707,1227785201
News,2018-12-16,4,1353035,704391115
Nonprofit,2018-12-03,290,4153697,713371061
Nonprofit,2018-12-04,375,4160811,703590689
Nonprofit,2018-12-05,351,4167713,713705339
Nonprofit,2018-12-06,360,4174600,706169946
Nonprofit,2018-12-07,394,4181369,714091435
Nonprofit,2018-12-08,365,4188796,708746333
Nonprofit,2018-12-09,351,4196422,714427942
Nonprofit,2018-12-10,261,4203454,710949335
Nonprofit,2018-12-11,278,4210065,714608551
Nonprofit,2018-12-12,262,4216455,712962879
Nonprofit,2018-12-13,273,4222798,714745371
Nonprofit,2018-12-14,283,4221722,714935505
Nonprofit,2018-12-15,253,4227816,715081614
Nonprofit,2018-12-16,2,1475568,173587895
People,2018-12-03,447,2542186,898811416
People,2018-12-04,509,2556808,887982345
People,2018-12-05,502,2558752,893873020
People,2018-12-06,537,2565143,885934816
People,2018-12-07,540,2572982,894726711
People,2018-12-08,563,2599021,895772660
People,2018-12-09,520,2567622,889513190
People,2018-12-10,477,2591867,891901582
People,2018-12-11,695,2562006,883787737
People,2018-12-12,465,2586434,889097577
People,2018-12-13,626,2592029,896634062
People,2018-12-14,498,2615311,902786468
People,2018-12-15,474,2574670,885435959
People,2018-12-16,14,1997754,389775843
Shows,2018-12-03,819,3049372,2217955719
Shows,2018-12-04,716,3053764,2189179867
Shows,2018-12-05,717,3058663,2218224608
Shows,2018-12-06,810,3063957,2195078336
Shows,2018-12-07,726,3069559,2218480786
Shows,2018-12-08,814,3075394,2200903355
Shows,2018-12-09,828,3080960,2218775168
Shows,2018-12-10,850,3086515,2207350421
Shows,2018-12-11,755,3091332,2219056286
Shows,2018-12-12,791,3096509,2213200390
Shows,2018-12-13,902,3101624,2219388887
Shows,2018-12-14,829,3098061,2219735862
Shows,2018-12-15,728,3103081,2219735862
Shows,2018-12-16,2,605644,491325095
Sports,2018-12-03,360,1340490,572321624
Sports,2018-12-04,327,1343334,565484995
Sports,2018-12-05,268,1346219,573159931
Sports,2018-12-06,363,1351964,567255439
Sports,2018-12-07,409,1357622,574001861
Sports,2018-12-08,454,1363216,569744784
Sports,2018-12-09,511,1369314,574952626
Sports,2018-12-10,607,1375738,573311999
Sports,2018-12-11,382,1379235,575891565
Sports,2018-12-12,423,1382135,575603932
Sports,2018-12-13,289,1384892,576715931
Sports,2018-12-14,396,1386410,577563820
Sports,2018-12-15,472,1391967,577563820
Sports,2018-12-16,5,753162,234030255
Tech,2018-12-03,367,2657405,571904767
Tech,2018-12-04,408,2661731,552766521
Tech,2018-12-05,517,2665996,572579942
Tech,2018-12-06,490,2671369,556134415
Tech,2018-12-07,375,2675314,573273535
Tech,2018-12-08,370,2679382,558410718
Tech,2018-12-09,483,2684922,573963795
Tech,2018-12-10,455,2688915,561466485
Tech,2018-12-11,2898,2394468,579794231
Tech,2018-12-12,310,2695677,573070703
Tech,2018-12-13,391,2846097,604358784
Tech,2018-12-14,407,2976088,633089291
Tech,2018-12-15,374,2845368,604817868
Tech,2018-12-16,39,493103,231320241
Travel,2018-12-03,504,2311537,684318496
Travel,2018-12-04,569,2321260,682847353
Travel,2018-12-05,477,2329577,685824842
Travel,2018-12-06,392,2336775,684923723
Travel,2018-12-07,352,2343343,687053472
Travel,2018-12-08,419,2350701,686879957
Travel,2018-12-09,422,2358149,688234838
Travel,2018-12-10,391,2365759,688873691
Travel,2018-12-11,369,2372752,689563703
Travel,2018-12-12,391,2379936,690520208
Travel,2018-12-13,403,2387084,691012849
Travel,2018-12-14,390,2380942,692279485
Travel,2018-12-15,361,2386804,692279485
